Object Histogram:

Size	Count	Class description
72	1	sun.misc.Launcher$AppClassLoader
64	2	java.io.FilePermission
64	2	javax.swing.border.MatteBorder
64	4	java.awt.Queue
64	1	org.python.core.PyFrame
64	1	java.awt.DefaultKeyboardFocusManager
64	1	org.python.core.InternalTables2
64	4	javax.swing.text.JTextComponent$InputMethodRequestsHandler
64	4	javax.swing.plaf.basic.BasicSplitPaneDivider$OneTouchActionHandler
64	1	javax.swing.JSeparator$AccessibleJSeparator
64	4	sun.misc.URLClassPath$FileLoader
64	2	org.python.core.PyComplex
64	4	javax.swing.text.StyleConstants
64	2	java.io.PrintStream
64	2	javax.swing.plaf.metal.BumpBuffer
64	2	sun.font.CompositeGlyphMapper
64	2	sun.font.TrueTypeGlyphMapper
64	4	javax.swing.text.StyleConstants$FontConstants
64	4	java.lang.annotation.Annotation[]
64	1	sun.awt.X11GraphicsConfig
64	1	sun.awt.motif.X11RemoteOffScreenImage
64	1	javax.swing.MultiUIDefaults
64	2	javax.swing.plaf.metal.MetalToolBarUI$MetalDockingListener
64	2	javax.swing.text.Segment
64	2	org.python.proxies.leoSwingFrame$smacs_help$26
64	4	javax.swing.text.SimpleAttributeSet
64	4	java.util.HashMap$Values
64	1	java.util.logging.LogManager$RootLogger
64	2	sun.font.FileFont$FileFontDisposer
56	1	sun.awt.AppContext
56	1	sun.security.provider.NativePRNG$RandomIO
56	1	sun.awt.X11.XToolkit
56	1	sun.awt.X11.MotifDnDDragSourceProtocol
56	1	sun.awt.image.WritableRasterNative
56	1	javax.swing.tree.DefaultTreeSelectionModel
56	1	java.awt.EventQueue
56	7	javax.swing.plaf.basic.BasicBorders$MarginBorder
56	1	org.python.core.SyspathJavaLoader
56	1	java.text.RuleBasedBreakIterator
56	1	sun.awt.motif.X11RemoteOffScreenImage$X11RemoteSurfaceManager
56	1	javax.swing.tree.VariableHeightLayoutCache
48	1	sun.awt.SunHints$Value[][]
48	3	javax.swing.event.DocumentEvent$EventType
48	2	java.security.Permissions
48	2	javax.swing.plaf.metal.MetalBorders$RolloverMarginBorder
48	2	javax.swing.text.DefaultEditorKit$EndAction
48	2	java.lang.ThreadLocal$ThreadLocalMap
48	3	javax.swing.Spring$NegativeSpring
48	1	javax.swing.plaf.basic.BasicTableUI$TableDropTargetListener
48	1	javax.swing.text.DefaultHighlighter$LayeredHighlightInfo
48	2	org.python.modules.struct$BEFloatFormatDef
48	2	javax.swing.KeyboardManager$ComponentKeyStrokePair
48	1	javax.swing.plaf.metal.MetalCheckBoxUI
48	3	java.awt.ComponentOrientation
48	2	java.security.BasicPermissionCollection
48	3	javax.swing.UIManager$LookAndFeelInfo
48	1	sun.awt.im.ExecutableInputMethodManager
48	2	org.python.modules.struct$BEUnsignedShortFormatDef
48	3	sun.java2d.pipe.SpanClipRenderer
48	3	sun.misc.Signal
48	3	javax.swing.plaf.basic.BasicSplitPaneUI$Handler
48	3	javax.swing.border.CompoundBorder
48	3	javax.swing.text.DefaultStyledDocument$StyleContextChangeHandler
48	3	sun.awt.datatransfer.DataTransferer$CharsetComparator
48	2	java.io.FileOutputStream
48	1	sun.util.calendar.ZoneInfo
48	2	javax.swing.text.StyledEditorKit
48	3	java.text.AttributedCharacterIterator$Attribute
48	2	javax.swing.text.DefaultEditorKit$NextWordAction
48	2	javax.swing.plaf.metal.MetalMenuBarUI
48	3	javax.swing.plaf.basic.BasicSplitPaneDivider$MouseHandler
48	2	java.io.BufferedOutputStream
48	2	java.io.OutputStreamWriter
48	1	javax.swing.plaf.basic.BasicDesktopPaneUI
48	2	org.python.modules.struct$BEShortFormatDef
48	1	javax.swing.plaf.basic.BasicTextUI$TextDropTargetListener
48	3	org.python.proxies.leoSwingFrame$leoJSPFocusListener$56
48	1	sun.awt.X11GraphicsEnvironment
48	2	java.util.regex.Pattern$Ques
48	3	java.nio.charset.CodingErrorAction
48	2	org.python.modules.struct$LEUnsignedIntFormatDef
48	3	java.util.Arrays$ArrayList
48	2	javax.swing.text.DefaultEditorKit$DefaultKeyTypedAction
48	3	javax.swing.plaf.basic.BasicSplitPaneDivider$DividerLayout
48	1	leoTreeReloader
48	2	javax.swing.PopupFactory$LightWeightPopup
48	2	javax.print.DocFlavor$STRING
48	2	org.python.modules.struct$BEUnsignedLongFormatDef
48	1	javax.swing.plaf.basic.BasicInternalFrameUI$BorderListener
48	3	javax.swing.text.StyledEditorKit$AttributeTracker
48	1	javax.swing.plaf.basic.BasicListUI$ListDropTargetListener
48	3	java.lang.StringBuilder
48	2	sun.reflect.UnsafeDoubleFieldAccessorImpl
48	3	java.nio.channels.FileChannel$MapMode
48	1	sun.font.FontStrike[]
48	3	java.io.FileInputStream
48	2	javax.swing.text.DefaultEditorKit$BeginAction
48	2	javax.swing.text.DefaultEditorKit$PreviousWordAction
48	3	javax.swing.JTextField$ScrollRepainter
48	1	sun.awt.X11.XWINProtocol
48	3	javax.swing.SystemEventQueueUtilities$ComponentWorkRequest
48	1	org.python.core.ThreadState
48	2	java.lang.ref.ReferenceQueue$Null
48	2	sun.nio.cs.Surrogate$Parser
48	3	java.util.regex.Pattern$Start
48	3	java.security.Principal[]
48	2	javax.swing.text.DefaultEditorKit$PageAction
48	3	javax.swing.text.StyledEditorKit$1
48	2	org.python.modules.struct$LEIntFormatDef
48	2	com.sun.java.swing.plaf.motif.MotifBorders$BevelBorder
48	1	java.awt.image.MultiPixelPackedSampleModel
48	1	javax.swing.plaf.metal.MetalRadioButtonUI
48	2	java.util.concurrent.Semaphore$NonfairSync
48	2	javax.swing.plaf.basic.BasicToolBarUI$Handler
48	1	sun.awt.X11.XDnDDragSourceProtocol
48	2	org.python.modules.struct$BEDoubleFormatDef
48	2	org.python.modules.struct$BELongFormatDef
48	3	sun.awt.UNIXToolkit$GTKLoadStatus
48	3	org.python.proxies.leoSwingFind$CutCopyPaste$6
48	3	java.awt.ColorPaintContext
48	3	javax.swing.text.DefaultStyledDocument$StyleChangeHandler
48	1	java.util.LinkedHashMap
40	1	javax.swing.plaf.metal.MetalDesktopIconUI
40	1	javax.swing.UIManager$LAFState
40	1	org.python.proxies.leoSwingFrame$SetHeadlineToSelection$17
40	1	java.util.concurrent.ConcurrentHashMap
40	1	javax.swing.plaf.basic.BasicTreeUI$Handler
40	1	sun.nio.cs.StandardCharsets$Aliases
40	1	java.text.DateFormatSymbols
40	1	javax.swing.plaf.basic.BasicTreeUI$TreeDropTargetListener
40	1	com.sun.java.swing.SwingUtilities2$LSBCacheEntry[]
40	1	sun.nio.cs.StandardCharsets$Cache
40	1	java.util.logging.LogManager
40	1	sun.awt.AWTAutoShutdown$PeerMap
40	1	javax.imageio.ImageTypeSpecifier$Indexed
40	1	sun.awt.X11.XGlobalCursorManager
40	1	javax.swing.plaf.basic.BasicListUI$Handler
40	1	sun.nio.cs.StandardCharsets$Classes
40	1	java.text.AttributedString$AttributedStringIterator
40	1	javax.swing.plaf.basic.BasicDesktopPaneUI$BasicDesktopManager
40	1	sun.awt.image.DataBufferNative
40	1	javax.swing.table.DefaultTableColumnModel
40	1	javax.swing.plaf.basic.BasicPopupMenuUI$MenuKeyboardHelper
40	1	sun.java2d.NullSurfaceData
40	1	java.awt.color.ICC_ProfileGray
40	1	leoHeadlineTreeCellEditor
40	1	java.awt.color.ICC_ProfileRGB
40	1	char[][]
40	1	javax.swing.RepaintManager
40	1	java.awt.color.ICC_Profile
40	1	javax.swing.plaf.FontUIResource[]
40	2	sun.font.CharToGlyphMapper[]
40	1	leoEditorKit
32	1	org.python.proxies.leoSwingMenu$aa$110
32	1	org.python.proxies.leoSwingMenu$aa$170
32	1	org.python.proxies.leoSwingMenu$aa$272
32	2	javax.swing.MenuElement[]
32	1	org.python.proxies.leoSwingMenu$aa$176
32	1	org.python.proxies.leoSwingMenu$aa$342
32	1	org.python.proxies.leoSwingMenu$aa$252
32	1	org.python.proxies.leoSwingMenu$aa$356
32	2	org.python.core.PyFile$OutputStreamWrapper
32	1	org.python.proxies.leoSwingMenu$aa$106
32	1	org.python.proxies.leoSwingMenu$aa$104
32	1	java.awt.Toolkit$SelectiveAWTEventListener
32	1	java.text.AttributedString
32	1	javax.swing.text.DefaultEditorKit$SelectParagraphAction
32	2	sun.misc.NativeSignalHandler
32	1	org.python.proxies.leoSwingMenu$aa$130
32	1	org.python.proxies.leoSwingMenu$aa$100
32	2	sun.awt.MostRecentKeyValue
32	1	org.python.proxies.leoSwingMenu$aa$248
32	2	java.nio.ByteOrder
32	1	org.python.proxies.leoSwingMenu$aa$240
32	1	org.python.proxies.leoSwingMenu$aa$350
32	1	org.python.proxies.leoSwingMenu$aa$216
32	2	javax.swing.text.Position$Bias[]
32	1	org.python.proxies.leoSwingMenu$aa$276
32	1	org.python.proxies.leoSwingMenu$aa$280
32	1	org.python.proxies.leoSwingMenu$aa$292
32	1	org.python.proxies.leoSwingFrame$rmvSymbol$18
32	1	org.python.proxies.leoSwingMenu$aa$192
32	1	org.python.proxies.leoSwingMenu$aa$358
32	1	org.python.proxies.leoSwingMenu$aa$324
32	1	org.python.proxies.leoSwingMenu$aa$348
32	1	int[][][]
32	1	org.python.proxies.leoSwingMenu$aa$180
32	2	java.util.concurrent.Semaphore
32	1	org.python.proxies.leoSwingMenu$aa$126
32	1	javax.swing.JDesktopPane$1
32	1	org.python.proxies.leoSwingMenu$aa$278
32	1	sun.java2d.loops.RenderLoops[]
32	1	sun.awt.FontDescriptor[][][]
32	1	org.python.proxies.leoSwingMenu$aa$146
32	1	org.python.proxies.leoSwingMenu$aa$312
32	2	javax.swing.plaf.basic.BasicMenuBarUI$Handler
32	2	javax.swing.text.Position$Bias
32	1	org.python.proxies.leoSwingMenu$aa$328
32	1	org.python.proxies.leoSwingMenu$aa$212
32	1	sun.awt.X11GraphicsDevice
32	1	sun.awt.X11.XAnyEvent
32	1	org.python.proxies.leoSwingMenu$aa$86
32	2	java.awt.ImageCapabilities
32	1	org.python.proxies.leoSwingMenu$aa$274
32	1	org.python.proxies.leoSwingMenu$aa$124
32	1	org.python.proxies.leoSwingMenu$aa$302
32	1	org.python.proxies.leoSwingMenu$aa$340
32	1	org.python.proxies.leoSwingMenu$aa$256
32	1	org.python.proxies.leoSwingMenu$aa$310
32	2	javax.swing.tree.TreePath[]
32	1	org.python.proxies.leoSwingMenu$aa$352
32	1	org.python.proxies.leoSwingMenu$aa$264
32	1	org.python.proxies.leoSwingMenu$aa$118
32	1	org.python.proxies.leoSwingMenu$aa$268
32	1	org.python.proxies.leoSwingMenu$aa$298
32	1	javax.swing.plaf.basic.BasicTextUI$TextTransferHandler
32	2	java.util.Collections$UnmodifiableRandomAccessList
32	1	org.python.proxies.leoSwingMenu$aa$336
32	2	java.nio.charset.CoderResult
32	2	javax.swing.plaf.basic.BasicTabbedPaneUI$Handler
32	1	org.python.proxies.leoSwingMenu$aa$332
32	1	org.python.proxies.leoSwingMenu$aa$230
32	2	sun.awt.X11.XMWMModality
32	2	java.io.FilePermissionCollection
32	1	javax.swing.plaf.basic.BasicDesktopIconUI$MouseInputHandler
32	1	org.python.proxies.leoSwingMenu$aa$246
32	1	org.python.proxies.leoSwingMenu$aa$108
32	1	javax.swing.text.SegmentCache$CachedSegment
32	1	org.python.proxies.leoSwingMenu$aa$270
32	1	org.python.proxies.leoSwingMenu$aa$288
32	1	org.python.proxies.leoSwingMenu$aa$114
32	1	org.python.proxies.leoSwingMenu$aa$148
32	1	org.python.proxies.leoSwingMenu$aa$296
32	1	sun.nio.cs.ext.ExtendedCharsets
32	1	java.awt.datatransfer.SystemFlavorMap
32	1	org.python.proxies.leoSwingMenu$aa$242
32	1	org.python.proxies.leoSwingMenu$aa$152
32	1	org.python.proxies.leoSwingMenu$aa$318
32	1	org.python.proxies.leoSwingMenu$aa$96
32	1	org.python.proxies.leoSwingMenu$aa$346
32	1	org.python.proxies.leoSwingMenu$aa$186
32	1	org.python.proxies.leoSwingMenu$aa$232
32	1	org.python.proxies.leoSwingMenu$aa$218
32	1	javax.swing.plaf.metal.MetalButtonUI
32	1	java.lang.ThreadGroup[]
32	1	sun.reflect.UnsafeQualifiedStaticCharacterFieldAccessorImpl
32	1	org.python.proxies.leoSwingMenu$aa$190
32	1	sun.java2d.loops.SurfaceType[]
32	1	org.python.proxies.leoSwingMenu$aa$314
32	1	org.python.proxies.leoSwingMenu$aa$306
32	1	org.python.proxies.leoSwingMenu$aa$208
32	1	java.awt.BasicStroke
32	1	org.python.proxies.leoSwingMenu$aa$326
32	1	org.python.proxies.leoSwingMenu$aa$354
32	1	org.python.proxies.leoSwingMenu$aa$154
32	1	java.util.Map[]
32	1	org.python.proxies.leoSwingMenu$aa$168
32	1	org.python.proxies.leoSwingMenu$aa$202
32	1	org.python.proxies.leoSwingMenu$aa$164
32	1	org.python.proxies.leoSwingMenu$aa$266
32	1	javax.swing.plaf.basic.BasicTableUI
32	1	org.python.proxies.leoSwingMenu$aa$198
32	1	java.awt.FontMetrics[]
32	1	org.python.proxies.leoSwingMenu$aa$160
32	1	org.python.proxies.leoSwingMenu$aa$244
32	1	org.python.proxies.leoSwingFrame$autocompleter_help$27
32	1	org.python.proxies.leoSwingMenu$aa$92
32	1	org.python.proxies.leoSwingMenu$aa$194
32	1	org.python.proxies.leoSwingMenu$aa$238
32	1	org.python.proxies.leoSwingMenu$aa$234
32	1	short[][][]
32	1	org.python.proxies.leoSwingMenu$aa$182
32	1	org.python.proxies.leoSwingMenu$aa$140
32	1	org.python.core.SysPackageManager
32	2	sun.java2d.pipe.SpanShapeRenderer$Composite
32	1	org.python.proxies.leoSwingMenu$aa$222
32	1	org.python.proxies.leoSwingMenu$aa$226
32	1	org.python.proxies.leoSwingMenu$aa$88
32	1	org.python.proxies.leoSwingMenu$aa$284
32	1	org.python.proxies.leoSwingMenu$aa$136
32	1	org.python.proxies.leoSwingMenu$aa$344
32	1	org.python.proxies.leoSwingMenu$aa$196
32	1	org.python.proxies.leoSwingMenu$aa$98
32	2	org.python.proxies.leoSwingFrame$UtilityRightClick$43
32	1	org.python.proxies.leoSwingMenu$aa$334
32	1	com.sun.java.swing.plaf.motif.MotifBorders$MotifPopupMenuBorder
32	1	org.python.proxies.leoSwingMenu$aa$138
32	1	org.python.proxies.leoSwingMenu$aa$338
32	1	org.python.proxies.leoSwingMenu$aa$112
32	1	org.python.proxies.leoSwingMenu$aa$200
32	1	org.python.proxies.leoSwingMenu$aa$84
32	1	org.python.proxies.leoSwingMenu$aa$116
32	2	javax.swing.plaf.metal.MetalTabbedPaneUI$TabbedPaneLayout
32	1	org.python.proxies.leoSwingMenu$aa$134
32	1	org.python.proxies.leoSwingMenu$aa$262
32	2	javax.swing.ToolTipManager$Actions
32	1	org.python.proxies.leoSwingFind$dtm2$81
32	1	org.python.proxies.leoSwingMenu$aa$300
32	1	org.python.proxies.leoSwingMenu$aa$290
32	1	org.python.proxies.leoSwingMenu$aa$322
32	1	org.python.proxies.leoSwingMenu$aa$156
32	1	org.python.proxies.leoSwingMenu$aa$250
32	1	org.python.proxies.leoSwingMenu$aa$282
32	1	org.python.proxies.leoSwingMenu$aa$224
32	1	org.python.proxies.leoSwingMenu$aa$220
32	1	org.python.proxies.leoSwingMenu$aa$94
32	1	org.python.proxies.leoSwingMenu$aa$254
32	1	org.python.proxies.leoSwingMenu$aa$260
32	1	org.python.proxies.leoSwingMenu$aa$206
32	1	org.python.proxies.leoSwingMenu$aa$214
32	2	javax.swing.JTabbedPane$ModelListener
32	2	java.util.Collections$SynchronizedSet
32	2	javax.swing.JToolBar$DefaultToolBarLayout
32	1	org.python.proxies.leoSwingFrame$aa$77
32	1	org.python.proxies.leoSwingMenu$aa$128
32	1	org.python.proxies.leoSwingMenu$aa$188
32	1	org.python.proxies.leoSwingMenu$aa$178
32	2	org.python.modules.PyLock
32	1	java.io.BufferedInputStream
32	1	org.python.proxies.leoSwingMenu$aa$330
32	1	org.python.proxies.leoSwingMenu$aa$236
32	1	org.python.proxies.leoSwingMenu$aa$102
32	1	org.python.proxies.leoSwingMenu$aa$150
32	1	org.python.proxies.leoSwingMenu$aa$258
32	1	java.awt.AWTKeyStroke[][]
32	2	java.util.regex.Pattern$Slice
32	1	org.python.proxies.leoSwingMenu$aa$286
32	1	sun.font.FontDesignMetrics[]
32	1	javax.swing.plaf.basic.BasicRadioButtonUI
32	1	org.python.proxies.leoSwingMenu$aa$172
32	1	org.python.proxies.leoSwingMenu$aa$144
32	1	org.python.proxies.leoSwingMenu$aa$120
32	1	org.python.proxies.leoSwingMenu$aa$174
32	2	javax.swing.text.DefaultHighlighter$DefaultHighlightPainter
32	1	org.python.proxies.leoSwingMenu$aa$228
32	1	org.python.proxies.leoSwingMenu$aa$166
32	1	org.python.proxies.leoSwingMenu$aa$132
32	2	javax.swing.text.StyleConstants$ColorConstants
32	2	java.util.logging.Handler[]
32	1	org.python.proxies.leoSwingMenu$aa$204
32	1	org.python.proxies.leoSwingMenu$aa$158
32	1	org.python.proxies.leoSwingMenu$aa$122
32	1	org.python.proxies.leoSwingMenu$aa$184
32	1	org.python.proxies.leoSwingMenu$aa$210
32	1	java.util.Random
32	1	org.python.proxies.leoSwingMenu$aa$308
32	1	sun.awt.AWTAutoShutdown
32	1	org.python.proxies.leoSwingMenu$aa$320
32	1	java.awt.Queue[]
32	2	javax.swing.plaf.basic.BasicLookAndFeel$1
32	1	org.python.proxies.leoSwingMenu$aa$142
32	1	org.python.proxies.leoSwingMenu$aa$90
32	1	org.python.proxies.leoSwingMenu$aa$294
32	1	javax.swing.text.DefaultEditorKit$SelectWordAction
32	1	javax.swing.text.DefaultEditorKit$SelectLineAction
32	2	javax.swing.ButtonGroup
32	1	org.python.proxies.leoSwingMenu$aa$304
32	1	org.python.proxies.leoSwingMenu$aa$162
32	1	org.python.proxies.leoSwingMenu$aa$316
24	1	leoEditorKit$LeoViewFactory
24	1	javax.swing.plaf.basic.BasicTableHeaderUI$MouseInputHandler
24	1	sun.reflect.UnsafeQualifiedObjectFieldAccessorImpl
24	1	com.sun.imageio.spi.InputStreamImageInputStreamSpi
24	1	javax.swing.plaf.basic.BasicInternalFrameTitlePane$CloseAction
24	1	com.sun.java.swing.plaf.motif.MotifBorders$ToggleButtonBorder
24	1	javax.swing.MenuSelectionManager
24	1	javax.swing.border.LineBorder
24	1	java.lang.ProcessEnvironment$StringEnvironment
24	1	javax.swing.text.DefaultEditorKit$BeepAction
24	1	javax.imageio.ImageIO$CacheInfo
24	1	javax.swing.text.StyledEditorKit$UnderlineAction
24	1	com.sun.imageio.spi.FileImageInputStreamSpi
24	1	javax.swing.text.DefaultEditorKit$SelectAllAction
24	1	javax.swing.plaf.basic.BasicToggleButtonUI
24	1	com.sun.java.swing.plaf.motif.MotifBorders$ButtonBorder
24	1	sun.nio.cs.UTF_16
24	1	javax.swing.plaf.basic.BasicInternalFrameUI$Handler
24	1	sun.reflect.UnsafeLongFieldAccessorImpl
24	1	javax.swing.plaf.basic.BasicTableHeaderUI
24	1	javax.swing.text.DefaultEditorKit$DumpModelAction
24	1	javax.swing.JTextField$NotifyAction
24	1	com.sun.imageio.spi.FileImageOutputStreamSpi
24	1	javax.swing.plaf.basic.BasicInternalFrameTitlePane$IconifyAction
24	1	java.text.StringCharacterIterator
24	1	java.io.UnixFileSystem
24	1	org.python.modules.struct$LEDoubleFormatDef
24	1	sun.awt.image.FetcherInfo
24	1	javax.swing.plaf.basic.BasicTableUI$Handler
24	1	javax.swing.text.StyledEditorKit$StyledInsertBreakAction
24	1	sun.awt.im.CompositionAreaHandler
24	1	java.security.Provider$ServiceKey
24	1	org.python.proxies.leoSwingFind$_LeoTableCellEditor$9
24	1	java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
24	1	javax.swing.UIDefaults[]
24	1	javax.swing.plaf.metal.MetalLookAndFeel
24	1	sun.nio.cs.ISO_8859_1
24	1	sun.nio.cs.StandardCharsets
24	1	javax.swing.plaf.basic.BasicInternalFrameTitlePane$SizeAction
24	1	sun.nio.cs.US_ASCII
24	1	javax.swing.text.DefaultEditorKit$DeletePrevCharAction
24	1	javax.swing.text.DefaultEditorKit$ReadOnlyAction
24	1	javax.swing.text.DefaultEditorKit$CopyAction
24	1	sun.awt.datatransfer.DataTransferer$DataFlavorComparator
24	1	javax.swing.text.DefaultEditorKit$ToggleComponentOrientationAction
24	1	javax.swing.text.DefaultEditorKit$DeleteNextCharAction
24	3	javax.swing.plaf.metal.MetalBorders$ButtonBorder
24	1	org.python.core.CollectionIter[]
24	1	java.awt.datatransfer.DataFlavor$TextFlavorComparator
24	1	org.python.modules.struct$LEFloatFormatDef
24	1	java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl
24	1	javax.swing.text.StyledEditorKit$ItalicAction
24	1	javax.swing.text.DefaultEditorKit$InsertBreakAction
24	1	sun.nio.cs.UTF_8
24	1	sun.awt.X11.XAWTLookAndFeel
24	1	sun.awt.UNIXToolkit$GTKLoadStatus[]
24	1	javax.swing.text.DefaultEditorKit$InsertContentAction
24	1	org.python.modules.struct$LEUnsignedShortFormatDef
24	1	javax.swing.text.StyledEditorKit$BoldAction
24	1	sun.text.CompactByteArray
24	1	java.lang.ref.SoftReference[][]
24	1	javax.swing.plaf.metal.MetalToolTipUI
24	1	org.python.core.PyGenerator
24	1	com.sun.imageio.spi.RAFImageOutputStreamSpi
24	1	java.lang.ThreadLocal[]
24	1	java.io.PushbackInputStream
24	1	javax.swing.text.DefaultEditorKit$CutAction
24	1	java.io.ObjectStreamClass$FieldReflectorKey
24	1	javax.swing.text.DefaultEditorKit$InsertTabAction
24	1	sun.awt.PostEventQueue
24	1	org.python.modules.struct$LELongFormatDef
24	1	javax.swing.plaf.basic.BasicInternalFrameTitlePane$RestoreAction
24	1	org.python.modules.struct$LEShortFormatDef
24	1	java.lang.reflect.ReflectPermission
24	3	sun.net.www.protocol.jar.Handler
24	1	javax.swing.JComponent$IntVector
24	1	javax.swing.text.DefaultEditorKit$UnselectAction
24	1	org.python.modules.struct$LEUnsignedLongFormatDef
24	1	com.sun.java.swing.plaf.motif.MotifBorders$MenuBarBorder
24	1	sun.awt.X11.XWM
24	1	javax.swing.UIManager$LookAndFeelInfo[]
24	1	com.sun.imageio.spi.OutputStreamImageOutputStreamSpi
24	1	javax.swing.plaf.basic.BasicButtonUI
24	1	java.awt.datatransfer.DataFlavor[]
24	1	javax.swing.plaf.basic.BasicBorders$RolloverMarginBorder
24	1	sun.awt.resources.awt
24	1	sun.misc.PerformanceLogger$TimeData
24	1	java.util.logging.LoggingPermission
24	1	javax.swing.text.DefaultEditorKit$PasteAction
24	1	javax.swing.plaf.basic.BasicInternalFrameTitlePane$MaximizeAction
24	1	java.util.concurrent.Exchanger
24	1	javax.swing.text.DefaultEditorKit$WritableAction
24	1	com.sun.imageio.spi.RAFImageInputStreamSpi
24	1	javax.swing.plaf.basic.BasicInternalFrameTitlePane$MoveAction
16	1	javax.swing.plaf.metal.DefaultMetalTheme$FontDelegate
16	1	javax.swing.TransferHandler$DropHandler
16	1	javax.swing.plaf.metal.MetalInternalFrameTitlePane$MetalPropertyChangeHandler
16	1	org.python.proxies.leoSwingFrame$RecentVisitsMenuListener$13
16	1	javax.swing.TimerQueue
16	1	sun.awt.X11.XAWTLookAndFeel$1
16	1	com.sun.java.swing.plaf.motif.MotifBorders$FocusBorder
16	1	org.python.proxies.leoSwingFrame$resizer$20
16	1	java.util.regex.Pattern$JavaWhitespace
16	1	sun.awt.image.PixelConverter$Xrgb
16	1	sun.awt.X11.XAWTLookAndFeel$9
16	1	java.lang.InheritableThreadLocal
16	1	java.io.File[]
16	1	java.util.TreeMap$2
16	1	javax.swing.PopupFactory$HeavyWeightPopup$1
16	1	javax.swing.ToolTipManager$outsideTimerAction
16	1	org.python.proxies.leoSwingMenu$RecentFiles$3
16	1	org.python.proxies.SwingMacs$KeyProcessor$12
16	1	javax.swing.ToolTipManager$MoveBeforeEnterListener
16	1	org.python.proxies.leoSwingFrame$languageSetter$24
16	1	sun.awt.image.PixelConverter$ArgbBm
16	1	javax.swing.PopupFactory
16	1	java.nio.charset.CoderResult$1
16	1	java.util.regex.Pattern$JavaJavaIdentifierStart
16	2	java.lang.Shutdown$Lock
16	1	javax.swing.plaf.metal.MetalTreeUI$LineListener
16	1	sun.awt.X11.XAWTLookAndFeel$3
16	1	java.awt.font.TransformAttribute
16	1	org.python.core.StderrWrapper
16	1	sun.awt.X11.XAWTLookAndFeel$2
16	1	java.util.jar.Manifest
16	1	java.util.regex.Pattern$JavaDefined
16	1	javax.swing.ToolTipManager$insideTimerAction
16	1	org.python.core.StdoutWrapper
16	1	org.python.core.EnumerationProxy
16	1	java.util.regex.Pattern$JavaTitleCase
16	1	java.util.regex.Pattern$JavaUnicodeIdentifierStart
16	1	java.util.Hashtable$KeySet
16	1	java.util.regex.Pattern$JavaLetter
16	1	javax.swing.ToolTipManager$stillInsideTimerAction
16	1	java.awt.KeyboardFocusManager$HeavyweightFocusRequest
16	1	sun.awt.datatransfer.DataTransferer$IndexOrderComparator
16	1	org.python.proxies.leoSwingFrame$_rootN$47
16	1	sun.awt.X11.XAWTLookAndFeel$11
16	1	java.util.jar.Attributes
16	1	org.python.proxies.leoSwingFrame$autolistener$32
16	1	sun.awt.image.PixelConverter$Argb
16	1	java.awt.MediaTracker
16	1	java.util.concurrent.atomic.AtomicLong
16	1	java.lang.Shutdown$WrappedHook
16	1	javax.swing.PopupFactory$HeavyWeightPopup
16	1	java.lang.StackTraceElement[]
16	1	org.python.core.PyFile$InputStreamWrapper
16	1	javax.swing.text.SegmentCache
16	1	sun.awt.X11.XAWTLookAndFeel$6
16	1	java.awt.VKCollection
16	1	javax.swing.plaf.metal.MetalBorders$TableHeaderBorder
16	1	leoTreeReloader$TreeExpansionTracker
16	1	org.python.core.CollectionIter
16	1	java.util.concurrent.locks.ReentrantLock
16	1	sun.awt.image.PixelConverter$UshortGray
16	1	javax.swing.plaf.basic.BasicMenuItemUI$Actions
16	1	org.python.proxies.leoSwingFrame$NodeDragListener$53
16	1	org.python.proxies.leoSwingFrame$inSRMenuListener$19
16	1	javax.swing.plaf.basic.BasicTableUI$TableTransferHandler
16	1	java.util.regex.Pattern$Node
16	1	sun.awt.X11.XAWTLookAndFeel$8
16	1	sun.awt.image.PixelConverter$Ushort4444Argb
16	1	org.python.proxies.leoSwingFrame$posTreeModel$48
16	1	javax.swing.text.GlyphPainter1
16	1	sun.awt.X11.XAWTLookAndFeel$10
16	1	org.python.proxies.leoSwingFrame$BracketHighlighter$28
16	1	org.python.core.PyNotImplemented
16	1	sun.awt.image.PixelConverter$Xbgr
16	1	javax.swing.plaf.metal.MetalUtils$GradientPainter
16	1	javax.swing.plaf.basic.BasicTextUI$TextDragGestureRecognizer
16	1	org.python.core.ImportFunction
16	1	org.python.core.PyEllipsis
16	1	java.util.Hashtable$ValueCollection
16	1	sun.awt.X11.XAWTLookAndFeel$4
16	1	javax.swing.JTree$TreeSelectionRedirector
16	1	java.util.regex.Pattern$JavaISOControl
16	1	java.awt.GraphicsDevice[]
16	1	sun.awt.image.PixelConverter$Ushort555Rgbx
16	1	org.python.proxies.JLibrary$JLibrary_Loc$76
16	1	sun.awt.X11.XAtom[]
16	1	javax.swing.plaf.basic.BasicBorders$SplitPaneBorder
16	1	sun.awt.X11.XModalStrategy$XApplicationModalityTreeUnsensetive
16	1	sun.text.SupplementaryCharacterData
16	1	java.util.regex.Pattern$JavaUnicodeIdentifierPart
16	1	javax.swing.plaf.basic.BasicInternalFrameTitlePane$Handler
16	1	org.python.proxies.leoSwingFrame$ColorKeywordsProvider$14
16	1	org.python.proxies.leoSwingGui$cBoardOwner$11
16	1	sun.awt.X11.XDropTargetRegistry
