Object Histogram:

Size	Count	Class description
2208	92	javax.swing.plaf.ComponentInputMapUIResource
2184	17	int[][]
2176	136	sun.font.Font2DHandle
2160	6	javax.swing.JRootPane
2120	53	sun.misc.Cleaner
2112	44	sun.java2d.loops.MaskFill
2088	261	javax.swing.JMenuItem$MenuItemFocusListener
2048	16	javax.swing.plaf.metal.MetalScrollBarUI
2000	25	javax.swing.JMenu$AccessibleJMenu
1968	6	javax.swing.JLayeredPane
1944	81	org.python.core.CachedJarsPackageManager$JarXEntry
1904	34	sun.awt.image.BufImgSurfaceData
1824	57	org.python.parser.IdentityNode
1792	28	java.awt.geom.AffineTransform
1760	20	sun.font.CompositeFont
1664	16	sun.font.TrueTypeFont
1632	68	org.python.core.PyBeanEvent
1632	34	sun.awt.motif.X11CachingSurfaceManager
1632	12	java.awt.image.DirectColorModel
1600	20	org.python.core.PyJavaInnerClass
1560	65	org.python.core.PyCompoundCallable
1536	14	java.util.WeakHashMap$Entry[]
1520	38	sun.awt.image.ByteArrayImageSource
1488	62	java.util.logging.LogManager$LogNode
1488	31	org.python.core.StringFuncs
1480	37	java.awt.Color
1440	36	sun.font.FontFamily
1440	30	sun.java2d.loops.DrawGlyphListAA
1440	36	javax.swing.plaf.basic.DefaultMenuLayout
1400	5	java.lang.Object[][]
1392	29	javax.swing.Timer
1392	58	sun.java2d.loops.SurfaceType
1376	43	sun.awt.X11Renderer
1344	3	javax.swing.plaf.basic.BasicInternalFrameTitlePane$NoFocusButton
1320	3	javax.swing.JTextField
1296	3	javax.swing.JTextArea
1296	27	sun.java2d.loops.BlitBg
1280	32	java.util.zip.ZipFile
1264	32	javax.swing.SizeRequirements[]
1240	16	sun.font.TrueTypeFont$DirectoryEntry[]
1216	19	java.util.jar.JarFile
1184	74	org.python.core.PyModule
1160	29	sun.misc.SoftCache$ValueCell
1152	12	java.util.jar.JarFile$JarFileEntry
1152	16	java.awt.Font
1136	71	java.lang.ProcessEnvironment$Value
1136	71	java.lang.ProcessEnvironment$Variable
1128	47	javax.swing.text.WrappedPlainView$WrappedLine
1096	4	org.python.core.PyString[]
1088	34	org.python.proxies.leoSwingFrame$InsertTextIntoBody$15
1080	3	javax.swing.JSplitPane
1080	45	org.python.core.PyFloat
1080	3	javax.swing.JFrame
1040	26	java.awt.SystemColor
1040	1	java.lang.Integer[]
1040	1	java.lang.Short[]
1040	65	org.python.proxies.java.awt.event.ActionListener$Adapter
1032	43	java.awt.Insets
1024	32	org.python.core.SyspathArchive
1024	32	javax.swing.Spring$SumSpring
1024	4	javax.swing.CellRendererPane
1008	14	javax.swing.plaf.FontUIResource
984	3	javax.swing.Box
960	3	javax.swing.plaf.metal.MetalSplitPaneDivider
960	20	sun.awt.X11PMBlitLoops
936	39	javax.swing.Spring$StaticSpring
928	58	byte[][]
912	38	sun.swing.SwingLazyValue
912	38	javax.swing.DefaultSingleSelectionModel
896	2	javax.swing.plaf.metal.MetalSplitPaneDivider$1
896	2	javax.swing.plaf.metal.MetalSplitPaneDivider$2
864	27	sun.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl
864	18	sun.nio.ch.FileChannelImpl
864	2	javax.swing.JTextPane
848	53	java.util.zip.ZipFile$ZipCloser
848	53	javax.swing.JMenu$ActionChangedListener
840	15	sun.java2d.loops.GraphicsPrimitiveProxy
840	15	javax.swing.tree.VariableHeightLayoutCache$TreeStateNode
